ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,ANIO,MES,DECADA,CLUSTER
117,1963-08-18,230754,-14.2,-71.9,31,5.0,20223006,1963,8,1960,3
118,1963-08-27,125655,-17.7,-70.1,158,4.7,20223006,1963,8,1960,3
119,1963-08-29,153031,-7.1,-81.6,23,7.0,20223006,1963,8,1960,2
120,1963-08-31,103030,-15.9,-74.4,53,4.6,20223006,1963,8,1960,1
121,1963-09-02,41018,-14.1,-76.4,41,4.9,20223006,1963,9,1960,1
122,1963-09-10,73608,-14.6,-73.6,176,4.5,20223006,1963,9,1960,3
123,1963-09-17,55436,-10.783,-78.269,61,6.7,20223006,1963,9,1960,2
124,1963-09-20,40036,-11.3,-77.6,33,4.9,20223006,1963,9,1960,2
125,1963-09-24,163016,-10.754,-78.239,80,6.2,20223006,1963,9,1960,0
126,1963-10-06,121047,-9.0,-75.0,82,4.6,20223006,1963,10,1960,0
127,1963-10-07,124353,-12.9,-76.8,69,5.7,20223006,1963,10,1960,3
128,1963-10-19,21417,-18.3,-71.2,78,4.9,20223006,1963,10,1960,3
129,1963-10-27,74526,-14.7,-71.7,121,4.7,20223006,1963,10,1960,3
130,1963-10-28,25030,-13.6,-76.9,38,4.6,20223006,1963,10,1960,1
131,1963-10-30,11731,-4.8,-77.9,20,5.6,20223006,1963,10,1960,2
132,1963-10-31,231915,-4.9,-77.7,60,4.9,20223006,1963,10,1960,2
133,1963-11-02,160713,-12.5,-74.7,105,4.8,20223006,1963,11,1960,0
134,1963-11-03,31012,-3.5,-77.8,18,6.2,20223006,1963,11,1960,2
135,1963-11-03,42448,-4.3,-78.3,146,4.7,20223006,1963,11,1960,0
136,1963-11-03,73810,-15.6,-73.3,112,5.2,20223006,1963,11,1960,3
137,1963-11-03,120228,-3.7,-78.3,33,4.9,20223006,1963,11,1960,2
138,1963-11-04,32930,-15.0,-75.8,52,4.5,20223006,1963,11,1960,1
139,1963-11-06,10107,-12.8,-73.9,86,4.9,20223006,1963,11,1960,3
140,1963-11-06,12846,-4.2,-77.7,170,4.6,20223006,1963,11,1960,0
141,1963-11-06,183325,-16.7,-69.7,174,5.1,20223006,1963,11,1960,3
142,1963-11-08,192254,-3.7,-78.2,33,4.9,20223006,1963,11,1960,2
143,1963-11-09,211532,-9.127,-71.483,591,7.6,20223006,1963,11,1960,4
144,1963-11-10,10039,-8.976,-71.171,594,6.3,20223006,1963,11,1960,4
145,1963-11-12,122645,-15.8,-72.4,33,4.5,20223006,1963,11,1960,1
146,1963-11-15,1852,-4.7,-76.8,152,4.8,20223006,1963,11,1960,0
147,1963-11-18,71750,-16.5,-74.5,54,4.8,20223006,1963,11,1960,1
148,1963-11-19,223658,-18.6,-72.2,33,4.9,20223006,1963,11,1960,3
149,1963-11-27,21941,-16.6,-72.1,79,5.3,20223006,1963,11,1960,3
150,1963-11-29,15845,-15.1,-73.7,124,5.1,20223006,1963,11,1960,3
151,1963-12-04,31307,-8.3,-81.1,33,5.0,20223006,1963,12,1960,2
152,1963-12-04,42122,-7.1,-80.4,45,4.9,20223006,1963,12,1960,2
153,1963-12-06,181432,-7.1,-80.5,33,4.9,20223006,1963,12,1960,2
154,1963-12-10,72636,-8.7,-79.8,33,4.9,20223006,1963,12,1960,2
155,1963-12-18,14213,-7.4,-76.0,33,4.5,20223006,1963,12,1960,2
156,1963-12-19,145443,-8.3,-80.8,33,4.8,20223006,1963,12,1960,2
157,1963-12-19,170407,-9.7,-79.1,56,5.4,20223006,1963,12,1960,2
158,1963-12-20,104804,-5.2,-80.8,55,5.5,20223006,1963,12,1960,2
159,1963-12-24,24042,-6.6,-81.44,13,4.8,20223006,1963,12,1960,2
160,1963-12-27,959,-13.4,-72.7,42,4.6,20223006,1963,12,1960,1
161,1963-12-30,162048,-18.3,-70.1,150,4.6,20223006,1963,12,1960,3
162,1964-01-03,132751,-5.3,-76.0,106,4.7,20223006,1964,1,1960,0
163,1964-01-05,183356,-7.98,-74.35,147,5.5,20223006,1964,1,1960,0
164,1964-01-10,53704,-17.52,-69.79,167,4.7,20223006,1964,1,1960,3
165,1964-01-12,142153,-11.71,-74.72,152,4.7,20223006,1964,1,1960,0
166,1964-01-17,132722,-3.44,-77.5,33,4.6,20223006,1964,1,1960,2
167,1964-01-26,90935,-16.36,-71.62,116,6.2,20223006,1964,1,1960,3
168,1964-01-28,130350,-14.82,-71.85,136,4.6,20223006,1964,1,1960,3
169,1964-02-01,114737,-3.226,-77.77,87,5.4,20223006,1964,2,1960,2
170,1964-02-04,62453,-4.26,-80.8,100,4.5,20223006,1964,2,1960,2
171,1964-02-04,73808,-4.0,-80.79,67,4.9,20223006,1964,2,1960,2
172,1964-02-15,44606,-7.68,-76.0,33,4.6,20223006,1964,2,1960,2
173,1964-02-16,100338,-7.65,-75.67,35,4.9,20223006,1964,2,1960,2
174,1964-02-18,103323,-8.3,-78.0,33,4.9,20223006,1964,2,1960,2
175,1964-02-19,62912,-17.16,-70.72,134,4.5,20223006,1964,2,1960,3
176,1964-02-20,72223,-9.32,-74.54,77,4.9,20223006,1964,2,1960,0
177,1964-02-20,105743,-13.759,-75.62,65,4.9,20223006,1964,2,1960,1
178,1964-02-21,135148,-7.0,-81.5,33,4.8,20223006,1964,2,1960,2
179,1964-02-21,215213,-7.34,-79.15,36,4.8,20223006,1964,2,1960,2
180,1964-02-23,43519,-17.29,-74.2,38,4.8,20223006,1964,2,1960,1
181,1964-02-24,183834,-3.37,-78.0,33,5.0,20223006,1964,2,1960,2
182,1964-03-07,45104,-18.6,-70.4,112,4.9,20223006,1964,3,1960,3
183,1964-03-07,205328,-10.05,-78.895,37,4.7,20223006,1964,3,1960,2
184,1964-03-10,224854,-18.2,-70.64,138,4.9,20223006,1964,3,1960,3
185,1964-03-14,21402,-7.8,-75.4,33,4.7,20223006,1964,3,1960,2
